razao,endereco,bairro,venda,data,combustivel,cidade,ix_semana
POSTO TROVAO LTDA,"AVENIDA TITO FULGENCIO, 1189",Jardim Industrial,4.567,2020-11-03,gasolina,Contagem,1082
POSTO QUATRO RODAS LTDA,"AVENIDA TITO FULGENCIO, 950",Jardim Industrial,4.567,2020-11-03,gasolina,Contagem,1082
WMS SUPERMERCADOS DO BRASIL LTDA.,"AVENIDA GENERAL DAVID SARNOFF, 5350 ANEXO: SUPERCENTER;",Cidade Industrial,4.579,2020-11-03,gasolina,Contagem,1082
POSTO PAULISTA LTDA,"RODOVIA BR 381, 3300 KM 0600",Inconfidentes,4.596,2020-11-03,gasolina,Contagem,1082
POSTO OLEGARIO MACIEL LTDA,"AVENIDA CORONEL BENJAMIM GUIMARAES, 2288",Distrito Industrial,4.599,2020-11-03,gasolina,Contagem,1082
POSTO DE COMBUSTIVEL VIA LTDA,"AVENIDA TEREZA CRISTINA, 2796",Jardim Industrial,4.599,2020-11-03,gasolina,Contagem,1082
POSTO BALNEARIO LTDA,"AVENIDA ABILIO MACHADO, 4519",Vila Perola,4.395,2020-03-19,gasolina,Contagem,1083
CENTRO AUTOMOTIVO DEL-REY LTDA,"AVENIDA SEVERINO BALLESTEROS RODRIGUES, 900",Ressaca,4.399,2020-03-19,gasolina,Contagem,1083
POSTO SUPREMO LTDA,"AVENIDA PRINCESA IZABEL, 320",Parque Recreio,4.399,2020-03-19,gasolina,Contagem,1083
POSTO DO BETO LTDA,"AVENIDA DAS AMERICAS, 894",Kenedy,4.425,2020-03-19,gasolina,Contagem,1083
POSTO AGUA BRANCA DERIVADOS DE PETROLEO LTDA - ME,"RUA HIBISCO, 65",Chacara Boa Vista,4.435,2020-03-19,gasolina,Contagem,1083
POSTO LUIZA LTDA,"RODOVIA BR-040, 318 KM 522 E KM 318",Morada Nova,4.447,2020-03-19,gasolina,Contagem,1083
POSTO LOURA EMPREENDIMENTOS LTDA,"AVENIDA JOAO SOARES, 1024",Parque Xangri La,4.455,2020-03-19,gasolina,Contagem,1083
RODRIGUES SILVA DERIVADOS DE PETRÓLEO LTDA,"RUA SANTA MARIA, 43",Pedra Azul,4.457,2020-03-19,gasolina,Contagem,1083
POSTO FAISCA LTDA.,"AVENIDA JOAO SOARES, 564",Xangri-la,4.496,2020-03-19,gasolina,Contagem,1083
POSTO JC LTDA - EPP,"AV. PRINCESA ISABEL, 682",Parque Recreio,4.525,2020-03-19,gasolina,Contagem,1083
CARVALHO ENGENHARIA LTDA,"AVENIDA CEMIG, 500",Nacional,4.546,2020-03-19,gasolina,Contagem,1083
CARVALHO ENGENHARIA LTDA,"AVENIDA SEVERINO BALLESTEROS RODRIGUES, 1111",Fazenda do Confisco,4.548,2020-03-19,gasolina,Contagem,1083
LB COMERCIO DE PETROLEO EIRELI,"RODOVIA BR-040, SN KM 08",Morada Nova,4.5680000000000005,2020-03-19,gasolina,Contagem,1083
WJE COMBUSTIVEIS LTDA,"RODOVIA BR-040, S/N KM 526.7",Vila Paris,4.599,2020-03-19,gasolina,Contagem,1083
EMPREENDIMENTOS BRITO LIMA LTDA,"AVENIDA SEVERINO BALLESTEROS, 256",Guanabara,4.649,2020-03-19,gasolina,Contagem,1083
MERCANTIL LAGUNA LTDA,"AVENIDA FERNAO DIAS, 603",Jardim Laguna,4.769,2020-03-19,gasolina,Contagem,1083
POSTO FELIPE LTDA,"RUA RODRIGUES DA CUNHA, 611",Balneário da Ressaca,4.999,2020-03-19,gasolina,Contagem,1083
ALMADA & CIA LIMITADA,"RUA JACUI, 4040",Ipiranga,4.499,2020-10-03,gasolina,Belo Horizonte,1082
POSTO FLORAMAR LTDA,"AVENIDA CRISTIANO MACHADO, 10130",Floramar,4.499,2020-10-03,gasolina,Belo Horizonte,1082
POSTO SALAZAR LTDA,"RUA MINISTROOLIVEIRA SALAZAR, 770",Santa Monica,4.52,2020-10-03,gasolina,Belo Horizonte,1082
AUTO POSTO MACPETRO LTDA,"RUA DOUTOR ALVARO CAMARGOS, 2216",Santa Monica,4.522,2020-10-03,gasolina,Belo Horizonte,1082
COMERCIAL DE PETROLEO VILARINHO LTDA,"AVENIDA VILARINHO, 1691",Venda Nova,4.529,2020-10-03,gasolina,Belo Horizonte,1082
DGET COMBUSTIVEIS EIRELI,"RUA DOS ASTECAS, 2930",Santa Monica,4.529,2020-10-03,gasolina,Belo Horizonte,1082
AUTO POSTO VALE LTDA,"AVENIDA VILARINHO, 1146",Venda Nova,4.529,2020-10-03,gasolina,Belo Horizonte,1082
AUTO POSTO RIO BRANCO LTDA,"AVENIDA BERNARDA SILVESTRE, 115",Rio Brancoi,4.535,2020-10-03,gasolina,Belo Horizonte,1082
POSTO GABI LTDA,"AVENIDA VILARINHO, 2300",Venda Nova,4.5569999999999995,2020-10-03,gasolina,Belo Horizonte,1082
POSTO CENTER NORTE LTDA,"AVENIDA VILARINHO, 5360",Venda Nova,4.5569999999999995,2020-10-03,gasolina,Belo Horizonte,1082
POSTO ANTUNES LTDA,"AVENIDA PORTUGAL, 2603",Santa Amelia,4.567,2020-10-03,gasolina,Belo Horizonte,1082
POSTO CHAVES LTDA,"AVENIDA PORTUGAL, 2061",Santa Amelia,4.567,2020-10-03,gasolina,Belo Horizonte,1082
POSTO TUNEL LTDA,"AVENIDA CRISTIANO MACHADO, 71",Floresta,4.575,2020-10-03,gasolina,Belo Horizonte,1082
POSTO ARAUJO COMERCIO E DISTRIBUICAO DE COMBUSTIVEIS E LUBRIFICANTES LTDA.,"AVENIDA AMERICO VESPUCIO, 809",Aparecida,4.575,2020-10-03,gasolina,Belo Horizonte,1082
ORGANIZACOES GUALBERTO LTDA - EPP,"RUA MARIA GERTRUDES SANTOS, 293",Ceu Azul,4.577,2020-10-03,gasolina,Belo Horizonte,1082
POSTO UNIAO LTDA,"AVENIDA DOM PEDRO I, 3880",Vnda Nova,4.577,2020-10-03,gasolina,Belo Horizonte,1082
POSTO JOCA LTDA,"AV. ANTONIO JOSE DOS SANTOS,609, S/N",Ceu Azul,4.577,2020-10-03,gasolina,Belo Horizonte,1082
DELMA - COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA VILARINHO, 3353",Leticia Distrito de Venda Nova,4.578,2020-10-03,gasolina,Belo Horizonte,1082
POSTO CATEDRAL LTDA,"AVENIDA CRISTIANO MACHADO, 11100",Vila Cloris,4.595,2020-10-03,gasolina,Belo Horizonte,1082
POSTO CRISTIANO MACHADO LTDA,"AVENIDA CRISTIANO MACHADO, 8665",Dona Clara,4.595,2020-10-03,gasolina,Belo Horizonte,1082
POSTO MARIO WERNECK LIMITADA,"AVENIDA CRISTIANO MACHADO, 9292",Dona Clara,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
GAS BRAS LTDA,"RODOVIA PAPA JOAO PAULO II, 400",Satelite,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
AUTO POSTO MENDONCA LTDA,"AVENIDA CRISTIANO MACHADO, 2506",Cidade Nova,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
POSTO BOA ESPERANCA LTDA.,"RODOVIA PAPA JOAO PAULO II, 3031",Serra Verde,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
POSTO TATIANA LTDA,"AVENIDA PEDRO I, 468",Jardim Atlantico,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
GNV SETE BELO LTDA,"AVENIDA CRISTIANO MACHADO, 8898",Minaslandia,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
POSTO BRUNINHA LTDA,"AVENIDA DOM PEDRO I, 1680",Itapoa,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
POSTO CM LTDA,"AVENIDA CRISTIANO MACHADO, 3050 0",União,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
SOCIEDADE COMERCIAL CANAA LTDA,"RODOVIA PAPA JOAO PAULO II, 3614",Canaa,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
POSTO MINAS SHOPPING LTDA,"AVENIDA CRISTIANO MACHADO, 3400",Uniao,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
POSTO DE COMBUSTIVEL PASSARELA LTDA,"AVENIDA CRISTIANO MACHADO, 2525",Silveira,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
POSTO WAP CRISTIANO MACHADO LTDA,"AVENIDA CRISTIANO MACHADO, 9434",Minaslandia (p Maio),4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
POSTO CAMOES LTDA,"AVENIDA PORTUGAL, 4611",Itapoa,4.5969999999999995,2020-10-03,gasolina,Belo Horizonte,1082
POSTO ESTACAO BH LTDA,"AVENIDA CRISTIANO MACHADO, 10025",Heliopolis,4.598,2020-10-03,gasolina,Belo Horizonte,1082
POSTO SAO BERNARDO LTDA,"AVENIDA CRISTIANO MACHADO, 9505",Dona Clara,4.599,2020-10-03,gasolina,Belo Horizonte,1082
POSTO CN LTDA,"AVENIDA CRISTIANO MACHADO, 1383",Da Graca,4.599,2020-10-03,gasolina,Belo Horizonte,1082
POSTO ENTRADA OBRIGATÓRIA LTDA,"AVENIDA PORTUGAL, 4260",Jardim Atlântico,4.599,2020-10-03,gasolina,Belo Horizonte,1082
POSTO GUARAPARI LTDA,"AVENIDA GUARAPARI, 1201 LOTE 15 E 16",Santa Amelia,4.599,2020-10-03,gasolina,Belo Horizonte,1082
POSTO SANTO ONOFRE LTDA,"RUA ERICO VERISSIMO, 1645",Santa Monica,4.599,2020-10-03,gasolina,Belo Horizonte,1082
POSTO ATLANTICO LTDA,"AVENIDA PORTUGAL, 150",Jardim Atlantico,4.697,2020-10-03,gasolina,Belo Horizonte,1082
POSTO VANORTE LTDA,"RUA DOUTOR ALVARO CAMARGOS, 1795",Santa Branca,4.699,2020-10-03,gasolina,Belo Horizonte,1082
A CARABETTI & CIA LTDA,"AVENIDA CRISTIANO MACHADO, 2000",Cidade Nova,4.797,2020-10-03,gasolina,Belo Horizonte,1082
POSTO BOM BOM LTDA,"AVENIDA CONTORNO, 2694",Santa Efigenia,4.439,2020-03-19,gasolina,Belo Horizonte,1083
POSTO BEAGAS GNV LTDA.,"AVENIDA DOM PEDRO II, 4685",Jardim Montanhes,4.439,2020-03-19,gasolina,Belo Horizonte,1083
POSTO BH LTDA - ME,"AVENIDA DOS ANDRADAS, 1350",Centro,4.445,2020-03-18,gasolina,Belo Horizonte,1083
POSTO ESTACAO BH LTDA,"AVENIDA CRISTIANO MACHADO, 10025",Heliopolis,4.445,2020-03-18,gasolina,Belo Horizonte,1083
ROL COMERCIO DE DERIVADOS DE PETROLEO LTDA,"AVENIDA ANDRADAS, 3520",Pompeia,4.445,2020-03-18,gasolina,Belo Horizonte,1083
POSTO WAP LTDA,"AVENIDA PEDRO II, 4091",Vila Futuro,4.445,2020-03-19,gasolina,Belo Horizonte,1083
POSTO LESTE LTDA,"AVENIDA DOS ANDRADAS, 3300",Santa Efigenia,4.445,2020-03-18,gasolina,Belo Horizonte,1083
POSTO PRISMA LTDA,"AVENIDA VER. CICERO ILDEFONSO, 684",Joao Pinheiro,4.446000000000001,2020-03-18,gasolina,Belo Horizonte,1083
KING EMPREENDIMENTOS COMERCIAIS LTDA,"AVENIDA VEREADOR CÍCERO ILDEFONSO, 1065",Coração Eucarístico,4.446000000000001,2020-03-18,gasolina,Belo Horizonte,1083
POSTO DE COMBUSTÍVEIS SANTO AGOSTINHO LTDA.,"AVENIDA AMAZONAS, 2381",Santo Agostinho,4.447,2020-03-18,gasolina,Belo Horizonte,1083
POSTO QUICK LTDA,"AVENIDA CORONEL JOSE BENJAMIM, 17",Padre Eustaquio,4.447,2020-03-18,gasolina,Belo Horizonte,1083
POSTO OCEANO LTDA,"AVENIDA DO CONTORNO, 10325",Barro Preto,4.447,2020-03-18,gasolina,Belo Horizonte,1083
POSTO OLIMAR COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA TEREZA CRISTINA, 2350",Padre Eustaquio,4.447,2020-03-18,gasolina,Belo Horizonte,1083
POSTO DE COMBUSTIVEL TEREZA CRISTINA LTDA,"AVENIDA TEREZA CRISTINA, 820",Carlos Prates,4.447,2020-03-18,gasolina,Belo Horizonte,1083
POSTO LESTE OESTE LTDA,"AVENIDA TEREZA CRISTINA, 1795",Calafate,4.447,2020-03-18,gasolina,Belo Horizonte,1083
POSTO VILA NOSSA SENHORA DE FATIMA LTDA,"AVENIDA NOSSA SENHORA DE FATIMA, 2.401",Carlos Prates,4.447,2020-03-19,gasolina,Belo Horizonte,1083
POSTO DAMASCO LTDA - ME,"AVENIDA PEDRO II, 1125",Carlos Prates,4.447,2020-03-19,gasolina,Belo Horizonte,1083
POSTO JUPITER LTDA,"AVENIDA TEREZA CRISTINA, 2850",Padre Eustaquio,4.447,2020-03-18,gasolina,Belo Horizonte,1083
POSTO PAULISTINHA LTDA,"AVENIDA NOSSA SENHORA DE FATIMA, 1612",Carlos Prates,4.454,2020-03-19,gasolina,Belo Horizonte,1083
POSTO DE COMBUSTIVEL LUBRIMIL LTDA,"AVENIDA ABILIO MACHADO, 845",Dom Bosco,4.456,2020-03-18,gasolina,Belo Horizonte,1083
POSTO AVENIDA LTDA,"AVENIDA AMAZONAS, 9248",Glalija,4.459,2020-03-18,gasolina,Belo Horizonte,1083
POSTO PARADA OBRIGATORIA LTDA,"AVENIDA DOS ANDRADAS, 3910",Pompéia,4.487,2020-03-18,gasolina,Belo Horizonte,1083
COMERCIAL MARCESOP LTDA,"AVENIDA AMAZONAS, 5234",Nova Suica,4.489,2020-03-18,gasolina,Belo Horizonte,1083
POSTO FENIX ESTORIL LTDA,"AVENIDA AMAZONAS, 4808",Nova Suissa,4.489,2020-03-18,gasolina,Belo Horizonte,1083
POSTO CATALAO LTDA,"AVENIDA PRESIDENTE CARLOS LUZ, 102",Pedro Ii,4.495,2020-03-19,gasolina,Belo Horizonte,1083
EXXEL REVENDEDORA DE DERIVADOS DE PETROLEO LTDA,"AVENIDA VER CICERO ILDEFONSO, 539",Joao Pinheiro,4.496,2020-03-18,gasolina,Belo Horizonte,1083
POSTO JOAO PAULO II LTDA - ME,"AV JOÃO XXIII, 540",Alípio de Melo,4.496,2020-03-19,gasolina,Belo Horizonte,1083
ECO EMPREENDIMENTOS COMERCIAIS LTDA,"RUA TUPIS, 1774",Barro Preto,4.497,2020-03-18,gasolina,Belo Horizonte,1083
POSTO ITAPOA LTDA,"AVENIDA AMAZONAS, 2994",Barroca,4.497,2020-03-18,gasolina,Belo Horizonte,1083
POSTO SILVA LOBO LTDA.,"AVENIDA AMAZONAS, 5353 A",Nova Suiça,4.499,2020-03-18,gasolina,Belo Horizonte,1083
POSTO SERRANO LTDA,"AVENIDA ABILIO MACHADO, 3123",Serrano,4.499,2020-03-19,gasolina,Belo Horizonte,1083
POSTO GAMELEIRA LTDA,"AVENIDA AMAZONAS, 7605",Nova Gameleira,4.544,2020-03-18,gasolina,Belo Horizonte,1083
POSTO FORMULA BR LTDA,"AVENIDA AMAZONAS, 8.555",Cabana,4.544,2020-03-18,gasolina,Belo Horizonte,1083
POSTO CAPITAL LTDA,"AVENIDA ABILIO MACHADO, 1772",Alipio de Mello,4.587,2020-03-18,gasolina,Belo Horizonte,1083
POSTO ZEPPE MIRAGEM LTDA,"AVENIDA PRESIDENTE CARLOS LUZ, 638",Caicara,4.695,2020-03-19,gasolina,Belo Horizonte,1083
POSTO AMAZONAS LTDA,"AVENIDA AMAZONAS, 5298",Nova Suissa,4.749,2020-03-18,gasolina,Belo Horizonte,1083
POSTO R.E.M. LTDA,"AVENIDA DO CONTORNO, 10040",Barro Preto,4.749,2020-03-18,gasolina,Belo Horizonte,1083
POSTO R.E.M. LTDA,"AVENIDA AMAZONAS, 4594",Nova Suissa,4.749,2020-03-18,gasolina,Belo Horizonte,1083
COMBUSTIVEIS VALADARES LTDA,"AVENIDA PRESIDENTE CARLOS LUZ, 2600",Caparao,4.7989999999999995,2020-03-19,gasolina,Belo Horizonte,1083
DUTRA E SILVA LTDA,"AVENIDA DOS ENGENHEIROS, 465",Alipio de Melo,4.897,2020-03-19,gasolina,Belo Horizonte,1083
L. C. EMPREENDIMENTOS LTDA,"AVENIDA DIS ENGENHEIROS, 1620",Castelo,4.899,2020-03-19,gasolina,Belo Horizonte,1083
AUTO POSTO TREVINHO LTDA,"AVENIDA JOSE CANDIDO DA SILVEIRA, 3252",Ana Lucia,4.599,2020-09-03,gasolina,Sabará,1082
POSTO AVIEN LTDA,"RODOVIA BR-381, S/N KM 13",Borba Gato,4.599,2020-09-03,gasolina,Sabará,1082
POSTO SANTA INES MINAS LTDA,"AVENIDA CONTAGEM, 1980",Ana Lucia,4.599,2020-09-03,gasolina,Sabará,1082
POSTO DAS NACOES LTDA,"RODOVIA MG 5, KM 6",-,4.699,2020-09-03,gasolina,Sabará,1082
POSTO ANA LUCIA LTDA,"AVENIDA CONTAGEM, 1354",Ana Lucia,4.7989999999999995,2020-09-03,gasolina,Sabará,1082
AUTO POSTO SABARA LTDA.,"RUA PREFEITO VITOR FANTINI, 719",Centro,4.999,2020-09-03,gasolina,Sabará,1082
POSTO DAS NACOES LTDA,"RODOVIA MG 5, KM 6",-,4.599,2020-03-16,gasolina,Sabará,1083
POSTO SANTA INES MINAS LTDA,"AVENIDA CONTAGEM, 1980",Ana Lucia,4.599,2020-03-16,gasolina,Sabará,1083
AUTO POSTO TREVINHO LTDA,"AVENIDA JOSE CANDIDO DA SILVEIRA, 3252",Ana Lucia,4.599,2020-03-16,gasolina,Sabará,1083
POSTO AVIEN LTDA,"RODOVIA BR-381, S/N KM 13",Borba Gato,4.599,2020-03-16,gasolina,Sabará,1083
POSTO ANA LUCIA LTDA,"AVENIDA CONTAGEM, 1354",Ana Lucia,4.7989999999999995,2020-03-16,gasolina,Sabará,1083
AUTO POSTO SABARA LTDA.,"RUA PREFEITO VITOR FANTINI, 719",Centro,4.999,2020-03-16,gasolina,Sabará,1083
CATALAO COMERCIAL LTDA,"ROD. MG 030, 8625 SHOPPING SERENA MALL",Vale do Sereno,4.797,2020-09-03,gasolina,Nova Lima,1082
POSTO JAMBREIRO LTDA,"RODOVIA MG 30 KM 18,",Ouro Velho Mansoes,4.7989999999999995,2020-09-03,gasolina,Nova Lima,1082
JACK COMBUSTIVEIS EIRELI,"RUA DOUTOR ANIBAL MORAES QUINTAO, 71",Centro,4.849,2020-09-03,gasolina,Nova Lima,1082
PHILADELPHIA DERIVADOS DE PETROLEO LTDA,"PRACA DR. ERNANI RIB. SILVA, 22",Centro,4.899,2020-09-03,gasolina,Nova Lima,1082
POSTO CURVA DO RETIRO LTDA,"RODOVIA BR 040, 2000 KM 548 - LOTES 01 A 12",Jardim Canada,4.899,2020-09-03,gasolina,Nova Lima,1082
GRAFER COMERCIAL LTDA,"RODOVIA BR 040, S/N KM 544 ZONA RURAL",São Sebastião de Águas Claras,4.978,2020-09-03,gasolina,Nova Lima,1082
PETROLIM LTDA,"PRACA EXPEDICIONARIO ASSUNCAO, 12",Centro,4.999,2020-09-03,gasolina,Nova Lima,1082
PETROLIM LTDA,"PRACA EXPEDICIONARIO ASSUNCAO, 12",Centro,4.699,2020-03-16,gasolina,Nova Lima,1083
POSTO JAMBREIRO LTDA,"RODOVIA MG 30 KM 18,",Ouro Velho Mansoes,4.699,2020-03-16,gasolina,Nova Lima,1083
CATALAO COMERCIAL LTDA,"ROD. MG 030, 8625 SHOPPING SERENA MALL",Vale do Sereno,4.797,2020-03-16,gasolina,Nova Lima,1083
PHILADELPHIA DERIVADOS DE PETROLEO LTDA,"PRACA DR. ERNANI RIB. SILVA, 22",Centro,4.7989999999999995,2020-03-16,gasolina,Nova Lima,1083
JACK COMBUSTIVEIS EIRELI,"RUA DOUTOR ANIBAL MORAES QUINTAO, 71",Centro,4.849,2020-03-16,gasolina,Nova Lima,1083
POSTO CURVA DO RETIRO LTDA,"RODOVIA BR 040, 2000 KM 548 - LOTES 01 A 12",Jardim Canada,4.899,2020-03-16,gasolina,Nova Lima,1083
GRAFER COMERCIAL LTDA,"RODOVIA BR 040, S/N KM 544 ZONA RURAL",São Sebastião de Águas Claras,4.978,2020-03-16,gasolina,Nova Lima,1083
POSTO VILA AMARAL LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1100",Centro,4.578,2019-12-30,gasolina,Betim,1072
POSTO D. PEDRO DE BETIM LTDA.,"RODOVIA BR 381, S/N KM 486",Brasiléia,4.595,2019-12-30,gasolina,Betim,1072
POSTO ANGOLA LTDA,"RUA DO ROSARIO, 1001",Angola,4.597,2019-12-30,gasolina,Betim,1072
POSTO CIDADE NOVA LIMITADA,"AVENIDA JUIZ MARCO TULIO ISAAC, 330",Centro,4.599,2019-12-30,gasolina,Betim,1072
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,4.659,2019-12-30,gasolina,Betim,1072
AUTO POSTO HALLAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM484",Distrito Industrial Jardim Piemont Norte,4.684,2019-12-30,gasolina,Betim,1072
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,4.695,2019-12-30,gasolina,Betim,1072
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,4.695,2019-12-30,gasolina,Betim,1072
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,4.697,2019-12-30,gasolina,Betim,1072
POSTO VILA LIBERDADE LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1381",Angola,4.697,2019-12-30,gasolina,Betim,1072
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Ingá,4.697,2019-12-30,gasolina,Betim,1072
POSTO VILA AMARAL LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1100",Centro,4.578,2020-06-01,gasolina,Betim,1073
POSTO ANGOLA LTDA,"RUA DO ROSARIO, 1001",Angola,4.597,2020-06-01,gasolina,Betim,1073
POSTO CIDADE NOVA LIMITADA,"AVENIDA JUIZ MARCO TULIO ISAAC, 330",Centro,4.599,2020-06-01,gasolina,Betim,1073
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,4.659,2020-06-01,gasolina,Betim,1073
